campo,valor,n
descripcion_negocio,Belleza e higiene,1
descripcion_negocio,Reparación y mantenimiento de celulares y computadores,1
descripcion_negocio,Venta y repatriación de computadores,1
descripcion_negocio,Bar y Licores cerveza y gaseosas,1
descripcion_negocio,"Pollo asado ,mute ,sancochos ,patillas costillas asadas pescados fritos hallacas entre otros pasteles de yuca",1
descripcion_negocio,Venta de repuestos y reparación y mantenimiento de motocicletas,1
descripcion_negocio,"Cerveza, gaseosa, golosinas",1
descripcion_negocio,Productos automotrices,1
descripcion_negocio,Uñas tradicionales acrilicas  semi permanentes  acripie,1
descripcion_negocio,"Elaboración de muebles
O artesanías",1
descripcion_negocio,"Ofrecemos yuca , arroz , maiz , patilla y pepinos",1
descripcion_negocio,Maquillaje y productos para el cuidado facial,1
descripcion_negocio,"Lapidas, mesones, todo producto en mármol y granito",1
descripcion_negocio,Almuerzos desayunos empanadas tamales rellenas etc,1
descripcion_negocio,Café tinto arepas almojabanas envueltos artesanías,1
descripcion_negocio,Mochilas y artesanías hechas a mano matas wuayuu,1
descripcion_negocio,"Fabricación de estructuras metálicas y aluminio, ventanería, divisiones de baño",1
descripcion_negocio,Ventas de Bar y Licores nacionales y extranjeros,1
descripcion_negocio,"Venta de accesorios para computadores y celulares, mantenimientos de impresoras y celulares y computadores. Instalación de cámaras y sistemas de seguridad y principalmente publicidad impresa y digital",1
descripcion_negocio,"Productos saludables sin azúcar ,sin gluten ,frutos secos semillas entre otros",1
descripcion_negocio,"Mantenimiento  de motores 
Plantas de tratamiento  de agua
Sistema de filtración de piscina y iluminación",1
descripcion_negocio,"Ropa, calzado, accesorios",1
descripcion_negocio,Vendo suerte básicos largos y cortos para damas.,1
descripcion_negocio,Fabricación de productos capilares y de belleza y fabricación de tinturas para el cabello!,1
descripcion_negocio,Servicios integrales de peluquería,1
descripcion_negocio,Venta de detalles,1
descripcion_negocio,Venta de ropa de dama,1
descripcion_negocio,Venta de maquillaje,1
descripcion_negocio,Lentes recetados y gafas de sol,1
descripcion_negocio,"Ventanas ,puertas ,portones todo lo relacionado con soldadura",1
descripcion_negocio,"Lavado y desinfeccion de todo tipo de muebles, colchones, tapetes alfombras, persianas y lavado de automoviles",1
descripcion_negocio,"Mascotas
Guardería canina 
Artículos para mascotas 
Vacunas 
Desparasitación",1
descripcion_negocio,Servicios de estética en general,1
descripcion_negocio,Comidas rápidas perros calientes suizos carnes asadas picadas de carne jugos gaseosa,1
descripcion_negocio,"Pollos, huevos",1
descripcion_negocio,"Desechables, papelería, aseo y productos de primera necesidad",1
descripcion_negocio,Lavado de motos mecanica,1
descripcion_negocio,"Ventas de cámaras e instalaciones, arreglo de computadores, celulares, accesorios, disco duros, etc",1
descripcion_negocio,"Concentrados, juguetería, peluquería para mascotas",1
descripcion_negocio,Cerdos Pietran,1
descripcion_negocio,Comidas rápidas y bebidas heladas,1
descripcion_negocio,Venta y confección de ropa infantil.,1
descripcion_negocio,"Heladeria, cholaos, jugos",1
descripcion_negocio,"Asesoría jurídica 
Representación judicial
Compraventa de muebles e inmuebles",1
descripcion_negocio,"Hamburguesas, picadas salchipapas, perros calientes y la pizza",1
descripcion_negocio,Confección de todo tipo de prendas de vestir,1
descripcion_negocio,Venta de cerveza por caja y por unidad,1
descripcion_negocio,Cuidado de niños y asesoría de tareas,1
descripcion_negocio,"Realmente son productos naturales para el cuidado del cuerpo y la salud, para toda la familia.",1
descripcion_negocio,Servicio de peluquería canina y felina a domicilio,1
descripcion_negocio,"Dulcería, galleteria, productos para el aseo, papelería, agua, gaseosa, ect.",1
descripcion_negocio,Todo tipo de Bar y Licores y bebidas,1
descripcion_negocio,"Peinados infantil  y de dama,cortes cepillados planchados",1
descripcion_negocio,Barbería,1
descripcion_negocio,"Impresión, escaner, venta de refrigerios",1
descripcion_negocio,"Cubrelechos,Almohadas,cojines,",1
descripcion_negocio,Cortes de cabello de hombre dama miño,1
descripcion_negocio,"Zanahoria, sevolla,papa",1
descripcion_negocio,Venta y fabricación de capellada para calzado,1
descripcion_negocio,"Víveres, granos ,verduras,viernes ,Bar y Licores",1
descripcion_negocio,"Lavado de vehículos
Alineación y balanceo 
Cambio de aceite
Detailing",1
descripcion_negocio,Comida casera,1
descripcion_negocio,Manicurista,1
descripcion_negocio,comida rapida,1
descripcion_negocio,Ropa para dama y niña,1
descripcion_negocio,"Café de especialidad, de origen",1
descripcion_negocio,"Tubos y accesorios de pvc, cartulinas, cuadernos, cemento, audífonos, tubos y accesorios cortinas. Thinner, disolventes, accesorios para el hogar, impermeables, desechables, lijas, impresiones, fotocopias, etc.",1
descripcion_negocio,Cajas corrugadas para alimentos,1
descripcion_negocio,"Productos del Brasil de Bienestar,  belleza y cuidado personal",1
descripcion_negocio,Anchetas,1
descripcion_negocio,Venta y consumo de bebidas dentro del establecimiento y esparcimiento por juego de bolirana,1
descripcion_negocio,Acabados en construcción,1
descripcion_negocio,Jugos naturales y potencializadores,1
descripcion_negocio,Cortes para caballeros,1
descripcion_negocio,Bolso,1
descripcion_negocio,Cocteles granizados y licor,1
descripcion_negocio,Chaquetas y buzos,1
descripcion_negocio,"Detalles personalizados, desayunos sorpresa, Anchetas, detalles para ocasiones especiales, decoración de fiestas",1
descripcion_negocio,Cerveza de toda Bar y Licores y juego de bolirana,1
descripcion_negocio,"Corte barba manicure pedicure keratina alizaso
Alisados",1
descripcion_negocio,Artículos y jugueteria infantil,1
descripcion_negocio,Mochilas,1
descripcion_negocio,Papelería en general y elementos eléctricos,1
descripcion_negocio,Venta de cosméticos y artículos para tocador. Al por mayor y al detal,1
descripcion_negocio,"Papelería, maquillaje, dulces , bisutería",1
descripcion_negocio,"Vendo variedad de artículos tales como 
Toallas bordadas 
Tapabocas
Kit de aseo 
Y velas veladoras decoradas para toda ocacion también realizó decoración de fiestas 🥳",1
descripcion_negocio,Ropa hombre,1
descripcion_negocio,Perecederos y no perecederos,1
descripcion_negocio,Venta de cerveza comidas gaseosas dulces,1
descripcion_negocio,Eventos,1
descripcion_negocio,Venta mantenimiento repacion de computadores y accesorios,1
descripcion_negocio,"CORTE, CEPILLADO, PLANCHADO, PEINADOS, COLORIMETRIA, MANICURE Y PEDICURE",1
descripcion_negocio,Repuestos Motos de Alto Cilindraje,1
descripcion_negocio,Ropa de vestir masculina y femenina,1
descripcion_negocio,Suplementos y Alimentos naturales,1
descripcion_negocio,Reparacion de inmobiliario hospitalario y elaborqcion de tapizados,1
descripcion_negocio,Venta y fábricacion De base camas y ESPALDARES cabeceros  baúles y puff,1
descripcion_negocio,Ventas de artesanias ropa de playa ofrecemos servicios dw tejidos de joyas,1
descripcion_negocio,Pescado,1
descripcion_negocio,"Spa... Pestañas pelo a pelo y punto a punto cejas permanentes semipermanente
Venta de cosméticos",1
descripcion_negocio,Fabricamos calzado en cuero y sintético,1
descripcion_negocio,"Vendo manillas, pulceras, productos en macramé , anillos , collares",1
descripcion_negocio,Café almuerzo cokteles postres,1
descripcion_negocio,Guantes,1
descripcion_negocio,"Pizza, lasagnas, sandwich gaseosas, jugos",1
descripcion_negocio,Asados y picadas,1
descripcion_negocio,"Lavanderia de muebles, colchones, alfombras, cogineria de carros etx",1
descripcion_negocio,"Carnes, embutidos, salsa mentiría",1
descripcion_negocio,servicio de mantenimiento y arreglo de computadoras e instalación de software,1
descripcion_negocio,"Vendemos cuadros decorativos, manejamos 2 tipos de cuadros unos economicos y otros en una líneas más premium",1
descripcion_negocio,Masajes relajantes y terapeuticos,1
descripcion_negocio,Venta de productos veterinarios,1
descripcion_negocio,Arroz aceite fab,1
descripcion_negocio,Dulcería importada la tela aseo y demás,1
descripcion_negocio,Mecánica lámina y pintura embellecimiento automotriz arreglo de rines,1
