credito_id_anon,cliente_id_anon,fecha_desembolso,numero_cuota,dias_retraso,fecha_t_pago,fecha_pago,valor_pagado,estatus_credito,ciudad,sexo,tipo_de_negocio,origen,max_dias_retraso,target
1c6a98c8230e,aff6d3f86e42,2021-12-21,3,0.0,2022-03-22,2022-03-22,161200.0,PAGO,LOC_218,1,SEC_06,CANAL_17,7.0,1.0
1c6a98c8230e,aff6d3f86e42,2021-12-21,4,7.0,2022-04-21,2022-04-28,161200.0,PAGO,LOC_218,1,SEC_06,CANAL_17,7.0,1.0
1c6a98c8230e,aff6d3f86e42,2021-12-21,5,4.0,2022-05-21,2022-05-25,161200.0,PAGO,LOC_218,1,SEC_06,CANAL_17,7.0,1.0
1c6a98c8230e,aff6d3f86e42,2021-12-21,6,0.0,2022-06-20,2022-06-08,161200.0,PAGO,LOC_218,1,SEC_06,CANAL_17,7.0,1.0
accf0530d58b,068bc860e4cf,2021-12-22,1,843.0,2022-01-22,,0.0,ACTIVO,LOC_218,0,SEC_41,CANAL_17,843.0,0.0
accf0530d58b,068bc860e4cf,2021-12-22,2,813.0,2022-02-21,,0.0,ACTIVO,LOC_218,0,SEC_41,CANAL_17,843.0,0.0
accf0530d58b,068bc860e4cf,2021-12-22,3,783.0,2022-03-23,,0.0,ACTIVO,LOC_218,0,SEC_41,CANAL_17,843.0,0.0
accf0530d58b,068bc860e4cf,2021-12-22,4,753.0,2022-04-22,,0.0,ACTIVO,LOC_218,0,SEC_41,CANAL_17,843.0,0.0
accf0530d58b,068bc860e4cf,2021-12-22,5,723.0,2022-05-22,,0.0,ACTIVO,LOC_218,0,SEC_41,CANAL_17,843.0,0.0
063ad154bfad,a4c29193b89b,2021-12-22,1,2.0,2022-01-22,2022-01-24,208400.0,PAGO,LOC_218,0,SEC_22,CANAL_17,2.0,1.0
063ad154bfad,a4c29193b89b,2021-12-22,2,0.0,2022-02-21,2022-02-21,208400.0,PAGO,LOC_218,0,SEC_22,CANAL_17,2.0,1.0
063ad154bfad,a4c29193b89b,2021-12-22,3,0.0,2022-03-23,2022-02-28,208800.0,PAGO,LOC_218,0,SEC_22,CANAL_17,2.0,1.0
ea5a2ad4abcb,98cec5d095f8,2021-12-22,1,0.0,2022-01-22,2022-01-18,157893.0,ACTIVO,LOC_218,1,SEC_69,CANAL_17,783.0,0.0
ea5a2ad4abcb,98cec5d095f8,2021-12-22,2,0.0,2022-02-21,2022-02-16,157893.0,ACTIVO,LOC_218,1,SEC_69,CANAL_17,783.0,0.0
ea5a2ad4abcb,98cec5d095f8,2021-12-22,3,783.0,2022-03-23,,0.0,ACTIVO,LOC_218,1,SEC_69,CANAL_17,783.0,0.0
ea5a2ad4abcb,98cec5d095f8,2021-12-22,4,753.0,2022-04-22,,0.0,ACTIVO,LOC_218,1,SEC_69,CANAL_17,783.0,0.0
8319739c65b0,efa43a3e7e15,2022-01-24,1,1.0,2022-02-20,2022-02-21,107000.0,PAGO,LOC_218,1,SEC_60,CANAL_17,2.0,1.0
8319739c65b0,efa43a3e7e15,2022-01-24,2,0.0,2022-03-22,2022-03-18,106500.0,PAGO,LOC_218,1,SEC_60,CANAL_17,2.0,1.0
8319739c65b0,efa43a3e7e15,2022-01-24,3,1.0,2022-04-21,2022-04-22,107000.0,PAGO,LOC_218,1,SEC_60,CANAL_17,2.0,1.0
8319739c65b0,efa43a3e7e15,2022-01-24,4,2.0,2022-05-21,2022-05-23,107000.0,PAGO,LOC_218,1,SEC_60,CANAL_17,2.0,1.0
8319739c65b0,efa43a3e7e15,2022-01-24,5,0.0,2022-06-20,2022-06-09,107000.0,PAGO,LOC_218,1,SEC_60,CANAL_17,2.0,1.0
e2cee07621b8,417acf8710bd,2022-01-21,1,1.0,2022-02-20,2022-02-21,106336.0,PAGO,LOC_337,0,SEC_45,CANAL_17,12.0,1.0
