credito_id_anon,max_dias_retraso,target
06d0f9f30cd7,222.0,0.0
06d157848800,375.0,0.0
06d93449d4c9,2.0,1.0
06e2f12fa6fa,4.0,1.0
06e4dc5751e7,0.0,1.0
06e745291e28,0.0,1.0
06e7ef3f1815,0.0,1.0
06f3a5577332,20.0,1.0
06fc4c1dc521,24.0,1.0
0701a6939a1b,1.0,1.0
070461d0c47e,572.0,0.0
070663d1f32c,360.0,0.0
07097d9350f5,39.0,
070e850b62fb,0.0,1.0
0721a722b502,3.0,1.0
0724ecf42de5,2.0,1.0
07293dcd789e,49.0,
072c78024d04,360.0,0.0
072dd4dcd457,27.0,1.0
072fabb62d10,28.0,1.0
0733270eb5f1,28.0,1.0
07340d9c8075,390.0,0.0
0734d3b21734,344.0,0.0
0735f3c8224f,1.0,1.0
074722650025,495.0,0.0
074781497b9b,8.0,1.0
074bc5c96d44,25.0,1.0
074f98bd44c7,252.0,0.0
0754862b5ae5,5.0,1.0
0756d80e082e,344.0,0.0
075a3641dda2,4.0,1.0
075b88e61df4,0.0,1.0
0760e3139fc1,10.0,1.0
0766abdc0f7d,526.0,0.0
076c5bf2987f,556.0,0.0
07771ebdf872,572.0,0.0
077b6fb035ad,70.0,0.0
0795e801ead2,207.0,0.0
079897bba22c,464.0,0.0
079d2fdc06bb,375.0,0.0
079f8cfa2788,5.0,1.0
07ac19967844,562.0,0.0
07ae5f52ac22,11.0,1.0
07b1deb05969,329.0,0.0
07b83c06ff4d,3.0,1.0
07b89bd03482,3.0,1.0
07be13e89219,0.0,1.0
07c11d2536cc,0.0,1.0
07c406c77315,329.0,0.0
07c58aa043b4,8.0,1.0
07ce1ba71fd4,1.0,1.0
07cf912fcb0f,37.0,
07d2023ecfa1,0.0,1.0
07e2bc094d3a,70.0,0.0
07e3924f51d9,495.0,0.0
07e47f7a91d8,299.0,0.0
07e5ae52b0ef,40.0,
07e6df344cb4,161.0,0.0
07ea5049a9e5,3.0,1.0
08064052978f,436.0,0.0
080ca9281f02,139.0,0.0
0811b54183eb,0.0,1.0
081c06d65d54,99.0,0.0
081fba9ccd60,0.0,1.0
0821c5161904,526.0,0.0
08232528d504,495.0,0.0
0826579d692b,207.0,0.0
082e0e210f3d,0.0,1.0
08321fc13e1c,0.0,1.0
083a8c898375,0.0,1.0
084649fe8aea,10.0,1.0
084f52f3b426,12.0,1.0
0859231f958e,9.0,1.0
0859e28fc32d,21.0,1.0
085e58ab7a19,13.0,1.0
08609dbddcf7,421.0,0.0
086853527482,299.0,0.0
08696b6664a3,556.0,0.0
086d57940517,2.0,1.0
087200998bf5,39.0,
0876a12009e4,9.0,1.0
087b7c26f0a2,237.0,0.0
087e87828813,654.0,0.0
08894b7808f6,30.0,1.0
