number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
199,0.7717201166180757,2026-08-24 20:55:38.722641,2026-08-24 20:55:39.022949,0 days 00:00:00.300308,0.534271033879387,0.05564255743896893,8,3,0.007941410487719638,0.00010301455335945612,0.8336098617775306,COMPLETE
200,0.7607580174927113,2026-08-24 20:55:39.023024,2026-08-24 20:55:39.281438,0 days 00:00:00.258414,0.5343946089192887,0.05540495945812436,8,4,0.007648547089357771,0.00040733491665699963,0.8340199740272455,COMPLETE
201,0.7569679300291545,2026-08-24 20:55:39.281517,2026-08-24 20:55:40.078402,0 days 00:00:00.796885,0.9138378454167961,0.05232496061351579,8,3,0.010073608627275115,0.00010206885169840631,0.8276610295132797,COMPLETE
202,0.7696501457725948,2026-08-24 20:55:40.078481,2026-08-24 20:55:40.379283,0 days 00:00:00.300802,0.526451817020003,0.06009326894904599,8,3,0.012286033960525574,0.00010036943527043105,0.8551689067929144,COMPLETE
203,0.7643294460641399,2026-08-24 20:55:40.379357,2026-08-24 20:55:40.688456,0 days 00:00:00.309099,0.5101028581223748,0.06009641681151912,8,3,0.012073468601040001,0.0001611999665210598,0.8529552864915243,COMPLETE
204,0.7708892128279884,2026-08-24 20:55:40.688534,2026-08-24 20:55:40.979508,0 days 00:00:00.290974,0.5280574709672055,0.0683748852534476,8,3,0.00852307915683536,0.00010248699156276348,0.8435163792708029,COMPLETE
205,0.7595189504373178,2026-08-24 20:55:40.979582,2026-08-24 20:55:41.220729,0 days 00:00:00.241147,0.5250312258855708,0.05725987420349076,8,4,0.008247764894595624,0.00010445923097257198,0.8592541316080843,COMPLETE
206,0.7679154518950437,2026-08-24 20:55:41.220805,2026-08-24 20:55:41.526246,0 days 00:00:00.305441,0.5363524281923989,0.048804374449544316,8,3,0.007096903538877388,0.0002172373348415417,0.8390950014570928,COMPLETE
207,0.7695918367346939,2026-08-24 20:55:41.526326,2026-08-24 20:55:42.003991,0 days 00:00:00.477665,0.5207755859740902,0.06372730878156926,8,3,0.00982737853975967,0.00015383259342856308,0.8450884713714024,COMPLETE
208,0.7640816326530613,2026-08-24 20:55:42.004075,2026-08-24 20:55:42.333783,0 days 00:00:00.329708,0.5087394211943544,0.05426556183439542,8,4,0.009092253142625436,0.00010206911715472563,0.8660832992250189,COMPLETE
209,0.7685860058309039,2026-08-24 20:55:42.333858,2026-08-24 20:55:42.650860,0 days 00:00:00.317002,0.5180342054328462,0.06544382551874592,8,3,0.010700660431470449,0.00028717041157251766,0.8461891628357734,COMPLETE
210,0.7675072886297376,2026-08-24 20:55:42.650943,2026-08-24 20:55:43.149530,0 days 00:00:00.498587,0.5227101337769409,0.06206670485631615,8,3,0.007134183175020711,0.00014351061767433566,0.8572872505971032,COMPLETE
211,0.7691399416909621,2026-08-24 20:55:43.149605,2026-08-24 20:55:43.448527,0 days 00:00:00.298922,0.5211685378463141,0.06850331841361845,8,3,0.009578363825022938,0.0002933457760554415,0.843775783833076,COMPLETE
212,0.766326530612245,2026-08-24 20:55:43.448613,2026-08-24 20:55:43.734875,0 days 00:00:00.286262,0.5401722630392543,0.06760094086244832,8,3,0.009451183666268504,0.00020580859703372888,0.8447157519984658,COMPLETE
213,0.7659912536443149,2026-08-24 20:55:43.734962,2026-08-24 20:55:44.068270,0 days 00:00:00.333308,0.5012645760811273,0.06116838245814063,8,2,0.015090261464143996,0.00015572498645655862,0.8358907063560107,COMPLETE
214,0.775262390670554,2026-08-24 20:55:44.068349,2026-08-24 20:55:44.368464,0 days 00:00:00.300115,0.5188005254792637,0.05260436068378922,8,3,0.011875244387485029,0.0002548279862491039,0.8699172442174171,COMPLETE
215,0.7649999999999999,2026-08-24 20:55:44.368550,2026-08-24 20:55:44.649503,0 days 00:00:00.280953,0.5313823220183149,0.05282934507387323,8,4,0.018598403409911698,0.00010059583743868736,0.8684888554585344,COMPLETE
216,0.7559475218658893,2026-08-24 20:55:44.649582,2026-08-24 20:55:44.978100,0 days 00:00:00.328518,0.512428877907303,0.04718731997151729,8,2,0.012532245013965406,0.0002235695481506675,0.8740860926339826,COMPLETE
217,0.7654373177842566,2026-08-24 20:55:44.978184,2026-08-24 20:55:45.271529,0 days 00:00:00.293345,0.5393371187815804,0.056717678052144824,8,3,0.006207165306698324,0.00012939946951041903,0.8510403435860582,COMPLETE
218,0.7655976676384839,2026-08-24 20:55:45.271610,2026-08-24 20:55:45.596430,0 days 00:00:00.324820,0.5278055140122818,0.05185039962304328,8,2,0.0204466022713478,0.00017149033414663205,0.8582312468018087,COMPLETE
219,0.7663848396501458,2026-08-24 20:55:45.596513,2026-08-24 20:55:45.897194,0 days 00:00:00.300681,0.5411573337150761,0.057291394422396814,8,4,0.011054825199676443,0.00012934755398254732,0.8319734405883542,COMPLETE
220,0.7627551020408162,2026-08-24 20:55:45.897277,2026-08-24 20:55:46.156810,0 days 00:00:00.259533,0.5149358150415839,0.06285999096366442,8,3,0.004639543863758336,0.00019386489726355133,0.8379819016469753,COMPLETE
221,0.7575655976676383,2026-08-24 20:55:46.156894,2026-08-24 20:55:46.402893,0 days 00:00:00.245999,0.5265629043736727,0.07023711526297384,8,3,0.008863740627606564,0.00024804958014072287,0.8507238594640761,COMPLETE
222,0.7742857142857145,2026-08-24 20:55:46.402973,2026-08-24 20:55:46.871261,0 days 00:00:00.468288,0.520339500179492,0.07327768807980486,8,3,0.015514558763396245,0.0002946862899351892,0.8418586126351231,COMPLETE
223,0.7737026239067055,2026-08-24 20:55:46.871338,2026-08-24 20:55:47.375143,0 days 00:00:00.503805,0.5369110503689418,0.07374568593346642,8,3,0.015886763035256803,0.00015214890467435852,0.8297653813230697,COMPLETE
